start_timestamp,end_timestamp,user_id,duration,start_time
1365281051,1365281122,u0,71,2013-04-06 20:44:11
1365281583,1365281785,u0,202,2013-04-06 20:53:03
1365282016,1365283105,u0,1089,2013-04-06 21:00:16
1365283586,1365283707,u0,121,2013-04-06 21:26:26
1365283908,1365284684,u0,776,2013-04-06 21:31:48
1365285423,1365286913,u0,1490,2013-04-06 21:57:03
1365287164,1365288817,u0,1653,2013-04-06 22:26:04
1365289028,1365290218,u0,1190,2013-04-06 22:57:08
1365290489,1365291447,u0,958,2013-04-06 23:21:29
1365292379,1365292602,u0,223,2013-04-06 23:52:59
1365293293,1365293364,u0,71,2013-04-07 00:08:13
1365294808,1365294999,u0,191,2013-04-07 00:33:28
1365295450,1365295531,u0,81,2013-04-07 00:44:10
1365296012,1365296425,u0,413,2013-04-07 00:53:32
1365296656,1365296746,u0,90,2013-04-07 01:04:16
1365297197,1365297268,u0,71,2013-04-07 01:13:17
1365297499,1365301636,u0,4137,2013-04-07 01:18:19
1365301876,1365302542,u0,666,2013-04-07 02:31:16
1365303504,1365303636,u0,132,2013-04-07 02:58:24
1365304850,1365305584,u0,734,2013-04-07 03:20:50
1365305865,1365306067,u0,202,2013-04-07 03:37:45
1365307541,1365308115,u0,574,2013-04-07 04:05:41
1365308386,1365309495,u0,1109,2013-04-07 04:19:46
1365353006,1365353077,u0,71,2013-04-07 16:43:26
1365370366,1365371697,u0,1331,2013-04-07 21:32:46
1365371938,1365373894,u0,1956,2013-04-07 21:58:58
1365374175,1365374347,u0,172,2013-04-07 22:36:15
1365374567,1365375233,u0,666,2013-04-07 22:42:47
1365375703,1365376621,u0,918,2013-04-07 23:01:43
1365376851,1365377033,u0,182,2013-04-07 23:20:51
1365377514,1365377655,u0,141,2013-04-07 23:31:54
1365378117,1365378187,u0,70,2013-04-07 23:41:57
1365379621,1365379944,u0,323,2013-04-08 00:07:01
1365380635,1365380796,u0,161,2013-04-08 00:23:55
1365382260,1365382885,u0,625,2013-04-08 00:51:00
1365383106,1365383639,u0,533,2013-04-08 01:05:06
1365383882,1365384143,u0,261,2013-04-08 01:18:02
1365384595,1365385583,u0,988,2013-04-08 01:29:55
1365385824,1365386812,u0,988,2013-04-08 01:50:24
1365387062,1365389222,u0,2160,2013-04-08 02:11:02
1365389472,1365389825,u0,353,2013-04-08 02:51:12
1365391259,1365391369,u0,110,2013-04-08 03:20:59
1365391650,1365391741,u0,91,2013-04-08 03:27:30
1365392012,1365392123,u0,111,2013-04-08 03:33:32
1365392354,1365393534,u0,1180,2013-04-08 03:39:14
1365393565,1365393898,u0,333,2013-04-08 03:59:25
1365394149,1365394958,u0,809,2013-04-08 04:09:09
1365396361,1365396492,u0,131,2013-04-08 04:46:01
1365400095,1365400166,u0,71,2013-04-08 05:48:15
1365401108,1365401209,u0,101,2013-04-08 06:05:08
1365431043,1365431316,u0,273,2013-04-08 14:24:03
1365432038,1365432169,u0,131,2013-04-08 14:40:38
1365434105,1365434196,u0,91,2013-04-08 15:15:05
1365434436,1365437599,u0,3163,2013-04-08 15:20:36
1365437800,1365440341,u0,2541,2013-04-08 16:16:40
