user_id,start_time,duration
u0,2013-04-17 06:00:00,0
u0,2013-04-17 07:00:00,0
u0,2013-04-17 08:00:00,0
u0,2013-04-17 09:00:00,0
u0,2013-04-17 10:00:00,0
u0,2013-04-17 11:00:00,0
u0,2013-04-17 12:00:00,0
u0,2013-04-17 13:00:00,151
u0,2013-04-17 14:00:00,4904
u0,2013-04-17 15:00:00,5054
u0,2013-04-17 16:00:00,223
u0,2013-04-17 17:00:00,465
u0,2013-04-17 18:00:00,292
u0,2013-04-17 19:00:00,615
u0,2013-04-17 20:00:00,5165
u0,2013-04-17 21:00:00,5416
u0,2013-04-17 22:00:00,0
u0,2013-04-17 23:00:00,0
u0,2013-04-18 00:00:00,1322
u0,2013-04-18 01:00:00,3017
u0,2013-04-18 02:00:00,4640
u0,2013-04-18 03:00:00,0
u0,2013-04-18 04:00:00,0
u0,2013-04-18 05:00:00,0
u0,2013-04-18 06:00:00,0
u0,2013-04-18 07:00:00,0
u0,2013-04-18 08:00:00,0
u0,2013-04-18 09:00:00,0
u0,2013-04-18 10:00:00,0
u0,2013-04-18 11:00:00,0
u0,2013-04-18 12:00:00,0
u0,2013-04-18 13:00:00,0
u0,2013-04-18 14:00:00,0
u0,2013-04-18 15:00:00,3356
u0,2013-04-18 16:00:00,726
u0,2013-04-18 17:00:00,1947
u0,2013-04-18 18:00:00,2693
u0,2013-04-18 19:00:00,1471
u0,2013-04-18 20:00:00,1955
u0,2013-04-18 21:00:00,2490
u0,2013-04-18 22:00:00,1330
u0,2013-04-18 23:00:00,2907
u0,2013-04-19 00:00:00,2917
u0,2013-04-19 01:00:00,4032
u0,2013-04-19 02:00:00,4405
u0,2013-04-19 03:00:00,0
u0,2013-04-19 04:00:00,676
u0,2013-04-19 05:00:00,0
u0,2013-04-19 06:00:00,0
u0,2013-04-19 07:00:00,0
u0,2013-04-19 08:00:00,0
u0,2013-04-19 09:00:00,0
u0,2013-04-19 10:00:00,0
u0,2013-04-19 11:00:00,0
u0,2013-04-19 12:00:00,0
u0,2013-04-19 13:00:00,535
u0,2013-04-19 14:00:00,4202
u0,2013-04-19 15:00:00,4194
u0,2013-04-19 16:00:00,1371
u0,2013-04-19 17:00:00,71
u0,2013-04-19 18:00:00,0
